categorie;ensemble;couleur;code_couleur;fnr_complet;e_no_complet;designation_complet;piece;qte;fnr_piece;e_no_piece;designation_piece
PRISE;Prise 3xT13 dont 1 commutee;coffee;57;87303.FMI.S.57;657135890;Prise ENC EDIZIOdue 3×T13 coffee 1×S;interieur;1;87303.BSM.S;653716000;Intérieur prise FH BSM 3×T13/1S
PRISE;Prise 3xT13 dont 1 commutee;coffee;57;87303.FMI.S.57;657135890;Prise ENC EDIZIOdue 3×T13 coffee 1×S;kit_frontal;1;920-87303.FMI.S.57;378530890;Kit frontal EDIZIOdue coffee 88×88mm 3×T13/1
PRISE;Prise T23 16A bornes enfichables;blanc;61;87023.FMI.61;639600000;Prise ENC EDIZIOdue T23 16A blanc avec bornes enf. 88×88×41mm;interieur;1;87023.BSM;633673000;Intérieur prise FH T23 16A avec bornes enf.
PRISE;Prise T23 16A bornes enfichables;blanc;61;87023.FMI.61;639600000;Prise ENC EDIZIOdue T23 16A blanc avec bornes enf. 88×88×41mm;kit_frontal;1;920-87023.FMI.61;378304000;Kit frontal ENC EDIZIOdue blanc 88×88mm 1×T23
PRISE;Prise T23 16A bornes enfichables;noir;60;87023.FMI.60;639600950;Prise ENC EDIZIOdue T23 16A noir avec bornes enf.;interieur;1;87023.BSM;633673000;Intérieur prise FH T23 16A avec bornes enf.
PRISE;Prise T23 16A bornes enfichables;noir;60;87023.FMI.60;639600950;Prise ENC EDIZIOdue T23 16A noir avec bornes enf.;kit_frontal;1;920-87023.FMI.60;378304950;Kit frontal ENC EDIZIOdue noir 88×88mm 1×T23
PRISE;Prise T23 16A bornes enfichables;crema;35;87023.FMI.35;639600010;Prise ENC EDIZIOdue T23 16A crema, avec bornes enf.;interieur;1;87023.BSM;633673000;Intérieur prise FH T23 16A avec bornes enf.
PRISE;Prise T23 16A bornes enfichables;crema;35;87023.FMI.35;639600010;Prise ENC EDIZIOdue T23 16A crema, avec bornes enf.;kit_frontal;1;920-87023.FMI.35;378304010;Kit frontal ENC EDIZIOdue crema 88×88mm 1×T23
PRISE;Prise T23 16A bornes enfichables;gris clair;65;87023.FMI.65;639600030;Prise ENC EDIZIOdue T23 16A gris clair, avec bornes enf.;interieur;1;87023.BSM;633673000;Intérieur prise FH T23 16A avec bornes enf.
PRISE;Prise T23 16A bornes enfichables;gris clair;65;87023.FMI.65;639600030;Prise ENC EDIZIOdue T23 16A gris clair, avec bornes enf.;kit_frontal;1;920-87023.FMI.65;378304030;Kit frontal ENC EDIZIOdue gris clair 88×88mm 1×T23
PRISE;Prise T23 16A bornes enfichables;gris fonce;67;87023.FMI.67;639600040;Prise ENC EDIZIOdue T23 16A gris foncé, avec bornes enf.;interieur;1;87023.BSM;633673000;Intérieur prise FH T23 16A avec bornes enf.
PRISE;Prise T23 16A bornes enfichables;gris fonce;67;87023.FMI.67;639600040;Prise ENC EDIZIOdue T23 16A gris foncé, avec bornes enf.;kit_frontal;1;920-87023.FMI.67;378304040;Kit frontal ENC EDIZIOdue gris foncé 88×88mm 1×T23
PRISE;Prise T23 16A bornes enfichables;coffee;57;87023.FMI.57;639600890;Prise ENC EDIZIOdue T23 16A coffee, avec bornes enf.;interieur;1;87023.BSM;633673000;Intérieur prise FH T23 16A avec bornes enf.
PRISE;Prise T23 16A bornes enfichables;coffee;57;87023.FMI.57;639600890;Prise ENC EDIZIOdue T23 16A coffee, avec bornes enf.;kit_frontal;1;920-87023.FMI.57;378304890;Kit frontal ENC EDIZIOdue coffee 88×88mm 1×T23
PRISE;Prise T23 16A bornes a vis;blanc;61;87123.FMI.61;639601000;Prise ENC EDIZIOdue T23 16A blanc, bornes à vis;interieur;1;87123.BSM;633672000;Intérieur prise FH T23 16A bornes à vis
PRISE;Prise T23 16A bornes a vis;blanc;61;87123.FMI.61;639601000;Prise ENC EDIZIOdue T23 16A blanc, bornes à vis;kit_frontal;1;920-87123.FMI.61;378314000;Kit frontal ENC EDIZIOdue blanc 88×88mm 1×T23
PRISE;Prise T23 16A bornes a vis;noir;60;87123.FMI.60;639601950;Prise ENC EDIZIOdue T23 16A noir bornes à vis;interieur;1;87123.BSM;633672000;Intérieur prise FH T23 16A bornes à vis
PRISE;Prise T23 16A bornes a vis;noir;60;87123.FMI.60;639601950;Prise ENC EDIZIOdue T23 16A noir bornes à vis;kit_frontal;1;920-87123.FMI.60;378314950;Kit frontal ENC EDIZIOdue noir 88×88mm 1×T23
PRISE;Prise T23 16A bornes a vis;crema;35;87123.FMI.35;639601010;Prise ENC EDIZIOdue T23 16A crema, bornes à vis;interieur;1;87123.BSM;633672000;Intérieur prise FH T23 16A bornes à vis
PRISE;Prise T23 16A bornes a vis;crema;35;87123.FMI.35;639601010;Prise ENC EDIZIOdue T23 16A crema, bornes à vis;kit_frontal;1;920-87123.FMI.35;378314010;Kit frontal ENC EDIZIOdue crema 88×88mm 1×T23
PRISE;Prise T23 16A bornes a vis;gris clair;65;87123.FMI.65;639601030;Prise ENC EDIZIOdue T23 16A gris clair, bornes à vis;interieur;1;87123.BSM;633672000;Intérieur prise FH T23 16A bornes à vis
PRISE;Prise T23 16A bornes a vis;gris clair;65;87123.FMI.65;639601030;Prise ENC EDIZIOdue T23 16A gris clair, bornes à vis;kit_frontal;1;920-87123.FMI.65;378314030;Kit frontal ENC EDIZIOdue gris clair 88×88mm 1×T23
PRISE;Prise T23 16A bornes a vis;gris fonce;67;87123.FMI.67;639601040;Prise ENC EDIZIOdue T23 16A gris foncé, bornes à vis;interieur;1;87123.BSM;633672000;Intérieur prise FH T23 16A bornes à vis
